Period,Fiscal Year,period_fiscalyear,Currency(ISO),Average Rate(1002),Spot Rate(1001),tipo,moneda_destino
12,2025,12-2025,ARS,1082.0934,1082.0934,FC,EUR
11,2025,11-2025,ARS,1082.0934,1082.0934,FC,EUR
10,2025,10-2025,ARS,1082.0934,1082.0934,FC,EUR
9,2025,9-2025,ARS,1082.0934,1082.0934,FC,EUR
8,2025,8-2025,ARS,1082.0934,1082.0934,FC,EUR
7,2025,7-2025,ARS,1082.0934,1082.0934,FC,EUR
6,2025,6-2025,ARS,1082.0934,1082.0934,FC,EUR
5,2025,5-2025,ARS,1082.0934,1082.0934,FC,EUR
4,2025,4-2025,ARS,1082.0934,1082.0934,FC,EUR
3,2025,3-2025,ARS,1082.0934,1082.0934,FC,EUR
2,2025,2-2025,ARS,1082.0934,1082.0934,FC,EUR
1,2025,1-2025,ARS,1082.0934,1082.0934,IST,EUR
12,2024,12-2024,ARS,1082.0934,1082.0934,IST,EUR
11,2024,11-2024,ARS,1053.54218,1053.54218,IST,EUR
10,2024,10-2024,ARS,1009.4403,1009.4403,IST,EUR
9,2024,9-2024,ARS,975.2255,975.2255,IST,EUR
8,2024,8-2024,ARS,971.5253,971.5253,IST,EUR
7,2024,7-2024,ARS,939.70065,939.70065,IST,EUR
6,2024,6-2024,ARS,927.31353,927.31353,IST,EUR
5,2024,5-2024,ARS,911.81985,911.81985,IST,EUR
4,2024,4-2024,ARS,895.40712,895.40712,IST,EUR
3,2024,3-2024,ARS,893.36487,893.36487,IST,EUR
2,2024,2-2024,ARS,394.08988,394.08988,IST,EUR
1,2024,1-2024,ARS,394.08988,371.69155,IST,EUR
12,2023,12-2023,ARS,370.81649,370.81649,IST,EUR
11,2023,11-2023,ARS,380.23328,380.23328,IST,EUR
10,2023,10-2023,ARS,301.64439,301.64439,IST,EUR
9,2023,9-2023,ARS,278.41409,278.41409,IST,EUR
8,2023,8-2023,ARS,255.04594,255.04594,IST,EUR
7,2023,7-2023,ARS,243.67388,243.67388,IST,EUR
6,2023,6-2023,ARS,226.722,226.722,IST,EUR
5,2023,5-2023,ARS,209.38013,209.38013,IST,EUR
4,2023,4-2023,ARS,202.44169,202.44169,IST,EUR
3,2023,3-2023,ARS,188.92153,188.92153,IST,EUR
2,2023,2-2023,ARS,173.54379,173.54379,IST,EUR
1,2023,1-2023,ARS,173.54379,173.54379,IST,EUR
12,2022,12-2022,ARS,143.31997,143.31997,IST,EUR
11,2022,11-2022,ARS,138.605,138.605,IST,EUR
10,2022,10-2022,ARS,133.72127,133.72127,IST,EUR
9,2022,9-2022,ARS,129.88424,129.88424,IST,EUR
8,2022,8-2022,ARS,128.50243,128.50243,IST,EUR
7,2022,7-2022,ARS,121.55782,121.55782,IST,EUR
6,2022,6-2022,ARS,123.09344,123.09344,IST,EUR
5,2022,5-2022,ARS,120.27726,120.27726,IST,EUR
4,2022,4-2022,ARS,117.15473,117.15473,IST,EUR
3,2022,3-2022,ARS,116.30669,116.30669,IST,EUR
2,2022,2-2022,ARS,114.69244,114.69244,IST,EUR
1,2022,1-2022,ARS,114.69244,114.69244,IST,EUR
12,2021,12-2021,ARS,114.19731,114.19731,IST,EUR
11,2021,11-2021,ARS,115.53475,115.53475,IST,EUR
10,2021,10-2021,ARS,114.84625,114.84625,IST,EUR
9,2021,9-2021,ARS,113.64075,113.64075,IST,EUR
8,2021,8-2021,ARS,115.28542,115.28542,IST,EUR
7,2021,7-2021,ARS,113.07544,113.07544,IST,EUR
6,2021,6-2021,ARS,107.7422,107.7422,IST,EUR
5,2021,5-2021,ARS,108.87082,108.87082,IST,EUR
4,2021,4-2021,ARS,105.95335,105.95335,IST,EUR
3,2021,3-2021,ARS,103.17334,103.17334,IST,EUR
2,2021,2-2021,ARS,97.39141,97.39141,IST,EUR
1,2021,1-2021,ARS,97.39141,97.39141,IST,EUR
12,2020,12-2020,ARS,89.11544,89.11544,IST,EUR
11,2020,11-2020,ARS,88.31421,88.31421,IST,EUR
10,2020,10-2020,ARS,85.5473,85.5473,IST,EUR
9,2020,9-2020,ARS,78.89551,78.89551,IST,EUR
8,2020,8-2020,ARS,76.17525,76.17525,IST,EUR
7,2020,7-2020,ARS,72.52117,72.52117,IST,EUR
6,2020,6-2020,ARS,70.54788,70.54788,IST,EUR
5,2020,5-2020,ARS,68.27694,68.27694,IST,EUR
4,2020,4-2020,ARS,66.64909,66.64909,IST,EUR
3,2020,3-2020,ARS,67.26919,67.26919,IST,EUR
2,2020,2-2020,ARS,65.72727,65.72727,IST,EUR
1,2020,1-2020,ARS,65.72727,65.72727,IST,EUR
12,2019,12-2019,ARS,62.33953,62.33953,IST,EUR
11,2019,11-2019,ARS,63.7366,63.7366,IST,EUR
10,2019,10-2019,ARS,48.94285,48.94285,IST,EUR
9,2019,9-2019,ARS,48.5926,48.5926,IST,EUR
8,2019,8-2019,ARS,49.68328,49.68328,IST,EUR
7,2019,7-2019,ARS,49.74342,49.74342,IST,EUR
6,2019,6-2019,ARS,48.59138,48.59138,IST,EUR
5,2019,5-2019,ARS,44.41395,44.41395,IST,EUR
4,2019,4-2019,ARS,42.33328,42.33328,IST,EUR
3,2019,3-2019,ARS,43.1104,43.1104,IST,EUR
2,2019,2-2019,ARS,42.87455,42.87455,IST,EUR
1,2019,1-2019,ARS,42.87455,42.87455,IST,EUR
12,2018,12-2018,ARS,46.5934,46.5934,IST,EUR
11,2018,11-2018,ARS,38.9317,45.7302,IST,EUR
10,2018,10-2018,ARS,32.5481,32.1332,IST,EUR
9,2018,9-2018,ARS,31.0614,32.963,IST,EUR
8,2018,8-2018,ARS,26.9799,29.1598,IST,EUR
7,2018,7-2018,ARS,24.8017,24.8,IST,EUR
6,2018,6-2018,ARS,24.67065,24.8034,IST,EUR
5,2018,5-2018,ARS,24.50265,24.5379,IST,EUR
4,2018,4-2018,ARS,23.5326,24.4674,IST,EUR
3,2018,3-2018,ARS,21.6164,22.5978,IST,EUR
2,2018,2-2018,ARS,20.6867,20.635,IST,EUR
1,2018,1-2018,ARS,20.6867,20.635,IST,EUR
12,2025,12-2025,CLP,1015.0473,1001.7061,FC,EUR
11,2025,11-2025,CLP,1015.0473,1001.7061,FC,EUR
10,2025,10-2025,CLP,1015.0473,1001.7061,FC,EUR
9,2025,9-2025,CLP,1015.0473,1001.7061,FC,EUR
8,2025,8-2025,CLP,1015.0473,1001.7061,FC,EUR
7,2025,7-2025,CLP,1015.0473,1001.7061,FC,EUR
6,2025,6-2025,CLP,1015.0473,1001.7061,FC,EUR
5,2025,5-2025,CLP,1015.0473,1001.7061,FC,EUR
4,2025,4-2025,CLP,1015.0473,1001.7061,FC,EUR
3,2025,3-2025,CLP,1015.0473,1001.7061,FC,EUR
2,2025,2-2025,CLP,1015.0473,1001.7061,FC,EUR
1,2025,1-2025,CLP,1006.1043,1001.7061,IST,EUR
12,2024,12-2024,CLP,1006.1043,1001.7061,IST,EUR
11,2024,11-2024,CLP,1018.4172,1010.5024,IST,EUR
10,2024,10-2024,CLP,1020.6205,1026.332,IST,EUR
9,2024,9-2024,CLP,1002.4956,1014.9089,IST,EUR
8,2024,8-2024,CLP,1002.7796,990.0822,IST,EUR
7,2024,7-2024,CLP,1039.0072,1015.4769,IST,EUR
6,2024,6-2024,CLP,1057.683,1062.5375,IST,EUR
5,2024,5-2024,CLP,1031.9874,1052.8285,IST,EUR
4,2024,4-2024,CLP,989.3643,1011.1463,IST,EUR
3,2024,3-2024,CLP,959.7542,967.5822,IST,EUR
2,2024,2-2024,CLP,952.0733,951.9261,IST,EUR
1,2024,1-2024,CLP,952.0733,956.1879,IST,EUR
12,2023,12-2023,CLP,938.4948,952.2205,IST,EUR
11,2023,11-2023,CLP,924.9041,924.769,IST,EUR
10,2023,10-2023,CLP,896.8064,925.0391,IST,EUR
9,2023,9-2023,CLP,865.7732,868.5737,IST,EUR
8,2023,8-2023,CLP,872.401,862.9727,IST,EUR
7,2023,7-2023,CLP,868.5387,881.8292,IST,EUR
6,2023,6-2023,CLP,865.9233,855.2481,IST,EUR
5,2023,5-2023,CLP,873.5421,876.5985,IST,EUR
4,2023,4-2023,CLP,890.0678,870.4857,IST,EUR
3,2023,3-2023,CLP,918.6218,909.6498,IST,EUR
2,2023,2-2023,CLP,926.3395,927.5937,IST,EUR
1,2023,1-2023,CLP,926.3395,927.5937,IST,EUR
12,2022,12-2022,CLP,909.1676,925.0852,IST,EUR
11,2022,11-2022,CLP,908.3395,893.25,IST,EUR
10,2022,10-2022,CLP,947.7482,923.4289,IST,EUR
9,2022,9-2022,CLP,932.8997,972.0674,IST,EUR
8,2022,8-2022,CLP,893.4327,893.732,IST,EUR
7,2022,7-2022,CLP,885.0284,893.1333,IST,EUR
6,2022,6-2022,CLP,885.4811,876.9235,IST,EUR
5,2022,5-2022,CLP,897.1918,894.0386,IST,EUR
4,2022,4-2022,CLP,932.6601,900.345,IST,EUR
3,2022,3-2022,CLP,960.4864,964.9752,IST,EUR
2,2022,2-2022,CLP,946.6878,955.9976,IST,EUR
1,2022,1-2022,CLP,946.6878,955.9976,IST,EUR
12,2021,12-2021,CLP,930.1055,937.3779,IST,EUR
11,2021,11-2021,CLP,913.7383,922.8331,IST,EUR
10,2021,10-2021,CLP,882.3562,904.6435,IST,EUR
9,2021,9-2021,CLP,870.0818,860.0689,IST,EUR
8,2021,8-2021,CLP,868.2455,880.0947,IST,EUR
7,2021,7-2021,CLP,851.969,856.3963,IST,EUR
6,2021,6-2021,CLP,852.8785,847.5416,IST,EUR
5,2021,5-2021,CLP,878.9892,858.2153,IST,EUR
4,2021,4-2021,CLP,886.0849,899.763,IST,EUR
3,2021,3-2021,CLP,895.4507,872.4068,IST,EUR
2,2021,2-2021,CLP,918.4702,918.4946,IST,EUR
1,2021,1-2021,CLP,918.4702,918.4946,IST,EUR
12,2020,12-2020,CLP,924.8352,918.4458,IST,EUR
11,2020,11-2020,CLP,912.5485,931.2245,IST,EUR
10,2020,10-2020,CLP,904.0162,893.8724,IST,EUR
9,2020,9-2020,CLP,909.6136,914.1599,IST,EUR
8,2020,8-2020,CLP,907.4876,905.0673,IST,EUR
7,2020,7-2020,CLP,918.5571,909.9079,IST,EUR
6,2020,6-2020,CLP,911.6075,927.2063,IST,EUR
5,2020,5-2020,CLP,888.957,896.0086,IST,EUR
4,2020,4-2020,CLP,861.52,881.9054,IST,EUR
3,2020,3-2020,CLP,875.3594,841.1345,IST,EUR
2,2020,2-2020,CLP,849.8886,909.5842,IST,EUR
1,2020,1-2020,CLP,849.8886,909.5842,IST,EUR
12,2019,12-2019,CLP,792.7512,790.193,IST,EUR
11,2019,11-2019,CLP,787.9285,795.3093,IST,EUR
10,2019,10-2019,CLP,777.1142,780.5477,IST,EUR
9,2019,9-2019,CLP,781.5077,773.6807,IST,EUR
8,2019,8-2019,CLP,774.7725,789.3347,IST,EUR
7,2019,7-2019,CLP,762.7074,760.2102,IST,EUR
6,2019,6-2019,CLP,753.5767,765.2046,IST,EUR
5,2019,5-2019,CLP,753.9613,741.9487,IST,EUR
4,2019,4-2019,CLP,780.7428,765.9739,IST,EUR
3,2019,3-2019,CLP,777.9586,795.5117,IST,EUR
2,2019,2-2019,CLP,763.079,760.4055,IST,EUR
1,2019,1-2019,CLP,763.079,760.4055,IST,EUR
12,2018,12-2018,CLP,776.3188,765.7524,IST,EUR
11,2018,11-2018,CLP,768.2846,786.8852,IST,EUR
10,2018,10-2018,CLP,752.532,749.6839,IST,EUR
9,2018,9-2018,CLP,745.2317,755.3801,IST,EUR
8,2018,8-2018,CLP,733.3783,735.0833,IST,EUR
7,2018,7-2018,CLP,738.7071,731.6733,IST,EUR
6,2018,6-2018,CLP,732.6643,745.7408,IST,EUR
5,2018,5-2018,CLP,736.2569,719.5878,IST,EUR
4,2018,4-2018,CLP,745.3797,752.926,IST,EUR
3,2018,3-2018,CLP,749.5125,737.8333,IST,EUR
2,2018,2-2018,CLP,756.5284,761.1916,IST,EUR
1,2018,1-2018,CLP,756.5284,761.1916,IST,EUR
12,2025,12-2025,COP,4521.8805,4662.2495,FC,EUR
11,2025,11-2025,COP,4521.8805,4662.2495,FC,EUR
10,2025,10-2025,COP,4521.8805,4662.2495,FC,EUR
9,2025,9-2025,COP,4521.8805,4662.2495,FC,EUR
8,2025,8-2025,COP,4521.8805,4662.2495,FC,EUR
7,2025,7-2025,COP,4521.8805,4662.2495,FC,EUR
6,2025,6-2025,COP,4521.8805,4662.2495,FC,EUR
5,2025,5-2025,COP,4521.8805,4662.2495,FC,EUR
4,2025,4-2025,COP,4521.8805,4662.2495,FC,EUR
3,2025,3-2025,COP,4521.8805,4662.2495,FC,EUR
2,2025,2-2025,COP,4521.8805,4662.2495,FC,EUR
1,2025,1-2025,COP,4621.76,4662.2495,IST,EUR
12,2024,12-2024,COP,4621.76,4662.2495,IST,EUR
11,2024,11-2024,COP,4504.4469,4581.2704,IST,EUR
10,2024,10-2024,COP,4439.4347,4427.6233,IST,EUR
9,2024,9-2024,COP,4327.8291,4451.2461,IST,EUR
8,2024,8-2024,COP,4177.9826,4204.4121,IST,EUR
7,2024,7-2024,COP,4152.7318,4151.553,IST,EUR
6,2024,6-2024,COP,4206.1913,4153.9105,IST,EUR
5,2024,5-2024,COP,4256.3224,4258.4721,IST,EUR
4,2024,4-2024,COP,4238.769,4254.1727,IST,EUR
3,2024,3-2024,COP,4287.3179,4223.3653,IST,EUR
2,2024,2-2024,COP,4339.7617,4351.2704,IST,EUR
1,2024,1-2024,COP,4339.7617,4312.1954,IST,EUR
12,2023,12-2023,COP,4384.0948,4328.2529,IST,EUR
11,2023,11-2023,COP,4382.3998,4439.9366,IST,EUR
10,2023,10-2023,COP,4439.554,4324.863,IST,EUR
9,2023,9-2023,COP,4632.0029,4554.2449,IST,EUR
8,2023,8-2023,COP,4910.236,4709.7608,IST,EUR
7,2023,7-2023,COP,5071.4336,5110.7111,IST,EUR
6,2023,6-2023,COP,5068.96,5032.1561,IST,EUR
5,2023,5-2023,COP,5061.9131,5105.7639,IST,EUR
4,2023,4-2023,COP,5074.3108,5018.0623,IST,EUR
3,2023,3-2023,COP,5060.4535,5130.5593,IST,EUR
2,2023,2-2023,COP,4704.1047,4990.3476,IST,EUR
1,2023,1-2023,COP,4704.1047,4990.3476,IST,EUR
12,2022,12-2022,COP,4409.0109,4417.8618,IST,EUR
11,2022,11-2022,COP,4431.1526,4400.16,IST,EUR
10,2022,10-2022,COP,4374.6741,4462.1451,IST,EUR
